id;cpf;nome;email
1;green;Response Palau;Carter_Farrell@gmail.com
2;Regional tan;Direct;Nathen88@gmail.com
3;copying Principal models;Cliff up;Candelario.Johns@yahoo.com
4;bypassing;Shoes metrics;Tristian48@yahoo.com
5;Account pink;Account Pants;Christ.Connelly@yahoo.com
6;Agent;Chief;Virgie41@hotmail.com
7;Outdoors visualize vortals;Kip robust Manager;Jamey_Bartell99@hotmail.com
8;panel Senior;Checking;Ryan_Mitchell@gmail.com
9;Account Silver;Garden optical;Rosina65@yahoo.com
10;Florida;clear-thinking relationships Buckinghamshire;Nola59@gmail.com
